timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649997100001,514,https://www.demoblaze.com/index.html-8,200,OK,Send_message 6-1,bin,true,,34140,513,1,35,https://www.demoblaze.com/nexus1.jpg,346,0,0
1649997099976,637,https://www.demoblaze.com/index.html-9,200,OK,Send_message 6-1,bin,true,,34955,514,1,35,https://www.demoblaze.com/iphone1.jpg,431,0,0
1649997100061,829,https://www.demoblaze.com/index.html-10,200,OK,Send_message 6-1,text,true,,36339,541,1,35,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,790,0,0
1649997100019,1063,https://www.demoblaze.com/index.html-11,200,OK,Send_message 6-1,text,true,,159798,542,1,35,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,745,0,0
1649997100066,904,https://www.demoblaze.com/index.html-12,200,OK,Send_message 6-1,text,true,,72627,567,1,35,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,483,0,286
1649997100282,941,https://www.demoblaze.com/index.html-13,200,OK,Send_message 6-1,text,true,,9308,544,1,35,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,940,0,0
1649997100516,793,https://www.demoblaze.com/index.html-14,200,OK,Send_message 6-1,text,true,,15508,550,1,35,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,789,0,0
1649997100615,834,https://www.demoblaze.com/index.html-15,200,OK,Send_message 6-1,text,true,,2781,514,1,35,https://www.demoblaze.com/js/index.js,834,0,659
1649997099793,1957,https://www.demoblaze.com/index.html,200,OK,invalid_user 4-13,text,true,,465787,8474,15,35,https://www.demoblaze.com/index.html,357,0,194
1649997099793,412,https://www.demoblaze.com/index.html-0,200,OK,invalid_user 4-13,text,true,,19902,513,15,35,https://www.demoblaze.com/index.html,357,0,194
1649997100292,558,https://www.demoblaze.com/index.html-1,200,OK,invalid_user 4-13,bin,true,,5483,514,15,35,https://www.demoblaze.com/favicon.ico,558,0,324
1649997100214,592,https://www.demoblaze.com/index.html-2,200,OK,invalid_user 4-13,text,true,,28696,552,15,35,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,399,0,0
1649997100291,976,https://www.demoblaze.com/index.html-3,200,OK,invalid_user 4-13,text,true,,12338,546,15,35,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,932,0,791
1649997100233,531,https://www.demoblaze.com/index.html-4,200,OK,invalid_user 4-13,text,true,,1274,520,15,35,https://www.demoblaze.com/css/latofonts.css,531,0,282
1649997101642,108,https://www.demoblaze.com/config.json,200,OK,invalid_user 4-12,text,true,,548,429,15,35,https://www.demoblaze.com/config.json,108,0,0
1649997100291,977,https://www.demoblaze.com/index.html-5,200,OK,invalid_user 4-13,text,true,,916,520,15,35,https://www.demoblaze.com/css/latostyle.css,977,0,792
1649997100292,1196,https://www.demoblaze.com/index.html-6,200,OK,invalid_user 4-13,bin,true,,4263,509,15,35,https://www.demoblaze.com/bm.png,1196,0,1017
1649997100765,298,https://www.demoblaze.com/index.html-7,200,OK,invalid_user 4-13,bin,true,,27679,515,15,35,https://www.demoblaze.com/Samsung1.jpg,205,0,0
1649997100807,616,https://www.demoblaze.com/index.html-8,200,OK,invalid_user 4-13,bin,true,,34140,513,15,35,https://www.demoblaze.com/nexus1.jpg,498,0,337
1649997100851,270,https://www.demoblaze.com/index.html-9,200,OK,invalid_user 4-13,bin,true,,34899,514,15,35,https://www.demoblaze.com/iphone1.jpg,186,0,0
1649997101064,203,https://www.demoblaze.com/index.html-10,200,OK,invalid_user 4-13,text,true,,35849,541,15,35,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,152,0,0
1649997101122,327,https://www.demoblaze.com/index.html-11,200,OK,invalid_user 4-13,text,true,,160107,542,15,35,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,146,0,0
1649997101275,475,https://www.demoblaze.com/index.html-12,200,OK,invalid_user 4-13,text,true,,72768,567,15,35,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,366,0,251
1649997101276,365,https://www.demoblaze.com/index.html-13,200,OK,invalid_user 4-13,text,true,,9021,544,15,35,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,352,0,238
1649997101276,421,https://www.demoblaze.com/index.html-14,200,OK,invalid_user 4-13,text,true,,15598,550,15,35,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,402,0,251
1649997101424,321,https://www.demoblaze.com/index.html-15,200,OK,invalid_user 4-13,text,true,,2854,514,15,35,https://www.demoblaze.com/js/index.js,315,0,205
1649997101660,109,https://www.demoblaze.com/config.json,200,OK,invalid_user 4-11,text,true,,434,429,15,35,https://www.demoblaze.com/config.json,109,0,0
1649997099986,1789,https://www.demoblaze.com/index.html,200,OK,invalid_user 4-15,text,true,,467893,8474,15,35,https://www.demoblaze.com/index.html,329,0,190
1649997101424,351,https://api.demoblaze.com/check,200,OK,Login_users 3-1,text,true,,298,431,1,35,https://api.demoblaze.com/check,351,0,0
1649997099986,416,https://www.demoblaze.com/index.html-0,200,OK,invalid_user 4-15,text,true,,19902,513,15,35,https://www.demoblaze.com/index.html,329,0,190
1649997100417,590,https://www.demoblaze.com/index.html-1,200,OK,invalid_user 4-15,bin,true,,5483,514,15,35,https://www.demoblaze.com/favicon.ico,590,0,387
1649997100418,703,https://www.demoblaze.com/index.html-2,200,OK,invalid_user 4-15,text,true,,28462,552,15,35,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,589,0,386
1649997100410,389,https://www.demoblaze.com/index.html-3,200,OK,invalid_user 4-15,text,true,,12326,546,15,35,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,205,0,0
1649997100422,585,https://www.demoblaze.com/index.html-4,200,OK,invalid_user 4-15,text,true,,1380,520,15,35,https://www.demoblaze.com/css/latofonts.css,585,0,382
1649997100426,578,https://www.demoblaze.com/index.html-5,200,OK,invalid_user 4-15,text,true,,996,520,15,35,https://www.demoblaze.com/css/latostyle.css,578,0,377
1649997100428,788,https://www.demoblaze.com/index.html-6,200,OK,invalid_user 4-15,bin,true,,4263,509,15,35,https://www.demoblaze.com/bm.png,788,0,380
1649997100799,574,https://www.demoblaze.com/index.html-7,200,OK,invalid_user 4-15,bin,true,,27679,515,15,35,https://www.demoblaze.com/Samsung1.jpg,466,0,300
1649997101004,262,https://www.demoblaze.com/index.html-8,200,OK,invalid_user 4-15,bin,true,,34140,513,15,35,https://www.demoblaze.com/nexus1.jpg,140,0,0
1649997101007,564,https://www.demoblaze.com/index.html-9,200,OK,invalid_user 4-15,bin,true,,34899,514,15,35,https://www.demoblaze.com/iphone1.jpg,417,0,265
1649997101008,302,https://www.demoblaze.com/index.html-10,200,OK,invalid_user 4-15,text,true,,36215,541,15,35,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,148,0,0
1649997101124,651,https://www.demoblaze.com/index.html-11,200,OK,invalid_user 4-15,text,true,,160255,542,15,35,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,408,0,287
1649997101222,366,https://www.demoblaze.com/index.html-12,200,OK,invalid_user 4-15,text,true,,74145,567,15,35,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,188,0,0
1649997101268,352,https://www.demoblaze.com/index.html-13,200,OK,invalid_user 4-15,text,true,,9171,544,15,35,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,339,0,231
1649997101310,192,https://www.demoblaze.com/index.html-14,200,OK,invalid_user 4-15,text,true,,15657,550,15,35,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,179,0,0
1649997101373,129,https://www.demoblaze.com/index.html-15,200,OK,invalid_user 4-15,text,true,,2920,514,15,35,https://www.demoblaze.com/js/index.js,129,0,0
1649997099434,2352,https://www.demoblaze.com/index.html,200,OK,invalid_user 4-7,text,true,,452355,8474,15,35,https://www.demoblaze.com/index.html,484,0,172
1649997099434,510,https://www.demoblaze.com/index.html-0,200,OK,invalid_user 4-7,text,true,,5057,513,15,35,https://www.demoblaze.com/index.html,484,0,172
1649997099951,334,https://www.demoblaze.com/index.html-1,200,OK,invalid_user 4-7,bin,true,,5483,514,15,35,https://www.demoblaze.com/favicon.ico,334,0,203
1649997099951,193,https://www.demoblaze.com/index.html-2,200,OK,invalid_user 4-7,text,true,,28574,552,15,35,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,114,0,0
1649997099952,393,https://www.demoblaze.com/index.html-3,200,OK,invalid_user 4-7,text,true,,12514,546,15,35,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,362,0,209
1649997099990,383,https://www.demoblaze.com/index.html-4,200,OK,invalid_user 4-7,text,true,,1280,520,15,35,https://www.demoblaze.com/css/latofonts.css,383,0,220
